brawler_name,player_tag,player_name,name_color,player_icon,player_trophies,rank,club
GRAY,#8CRP2UP29,Lucas Ruan ^-^,0xffcb5aff,28000148,1057,188,Good Game
GRAY,#V8JLJGJC,₩ith໒꒱毛糸,0xffa8e132,28000113,1057,189,Team ₩ith
GRAY,#9C822RQYG,AdleR,0xffcb5aff,28000108,1057,190,エメハン大学
GRAY,#2V8JURLV,Jotinha🤍,0xffcb5aff,28000202,1057,191,GamePlay D
GRAY,#VQ9ULR9P,ごぼう,0xfff05637,28000038,1056,192,ザベスじゃなくてエリザ
GRAY,#CVULUUC,damnn!Frosttt?❦,0xffffffff,28000135,1056,193,Moon Eclipsed
GRAY,#YP0QLC9LU,🐟イワシ。,0xff1ba5f5,28000066,1055,194,LEMONADE
GRAY,#2PLVVQVG,FINGERS,0xfff9c908,28000017,1055,195,ASR|Galaxy
GRAY,#20L88L2J,LeNain,0xffcb5aff,28000187,1054,196,A Few Good Men
GRAY,#Y9RQC9,Marci🌈,0xffffffff,28000170,1054,197,Tribe Juice
GRAY,#8CV09JLY8,Oath✨mihu🎭💞,0xffff9727,28000073,1053,198,銀の戦車
GRAY,#9UG08PQUY,廣告|💖Valik💖™,0xfff05637,28000077,1053,199,Brawl is AFK
GRAY,#9P98UCUV,Eydan,0xffa8e132,28000021,1053,200,Beyond Champs
GRIFF,#28JGQ2VQL,❦SimplyIce❤️🔥,0xffff8afb,28000023,1284,1,Power eSports
GRIFF,#22QGYLYYR,➪Jorgep64❤️,0xfff9775d,28000075,1268,2,Walther Smooth
GRIFF,#LQP90029P,SO|Aĺèx♡,0xff4ddba2,28000196,1266,3,<c7>OneKing</c>
GRIFF,#R2UGPYC,Fusion,0xffa2e3fe,28000003,1263,4,Remaining Alpha
GRIFF,#Q20LJQ82C,Dear_Michiღ,0xffa8e132,28000218,1257,5,ふぃっしゅる
GRIFF,#2GLVRR2LY,日大タックル,0xfff05637,28000188,1256,6,ELYSIUM
GRIFF,#2YRQC88R8,YT |Rigame乂☯︎︎,0xffffffff,28000002,1255,7,erwan roblox yt
GRIFF,#89JJV992Y,カルデラ,0xffff9727,28000003,1253,8,馬小屋🐎
GRIFF,#80V2V0JQJ,♡︎Ɗrα͢Gos🦈,0xfff05637,28000138,1252,9,Mizmiripsis🛐
GRIFF,#9JQVVPP8P,!p.Zis❦,0xffcb5aff,28000218,1252,10,Xero
GRIFF,#2VJVU029,star 〆,0xff1ba5f5,28000044,1251,11,F.S.T
GRIFF,#L9YPCGU0,SC|Bryce,0xff1ba5f5,28000109,1251,12,Crest
GRIFF,#2292C92LC,ざわちん大佐,0xff1ba5f5,28000151,1251,13,父のゲーム実況本部
GRIFF,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffcb5aff,28000191,1251,14,Spain4Win
GRIFF,#VLQPVPY,Hyra,0xffcb5aff,28000003,1251,15,85K
GRIFF,#8U9UVLV2,≮SSG|№arukami≯,0xffcb5aff,28000144,1251,16,私立三田学園
GRIFF,#99L8J809G,LPF|ᴬᴺᵀᴼᴺᵞ,0xffffffff,28000018,1251,17,Hijos De Fruta❤
GRIFF,#2L0G9RVQ9,YOUYOU-YTB,0xfff9c908,28000150,1251,18,erwan roblox yt
GRIFF,#PJ8QJGR9L,👏🦌かみ🦌👏,0xff1ba5f5,28000182,1251,19,Xero
GRIFF,#2JY9YY0Q,Dear_Arcanaღ,0xffffffff,28000167,1250,20,通りすがりW O R L D！
GRIFF,#2P808PGQY,➳Sweezy❤️‍🔥,0xfff05637,28000103,1250,21,NL~NextGen~
